ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-25,'601011,±¦Ì©Â¡,3.67,3.7,3.6,3.63,3.64,0.03,0.8242,0.9756,18690139,68407930.0,7030488858.13,7030488858.13
2022-11-24,'601011,±¦Ì©Â¡,3.64,3.66,3.63,3.64,3.64,0.0,0.0,0.6034,11559630,42158482.0,6973018921.96,6973018921.96
2022-11-23,'601011,±¦Ì©Â¡,3.64,3.66,3.6,3.63,3.64,0.0,0.0,0.7479,14327338,52044378.0,6973018921.96,6973018921.96
2022-11-22,'601011,±¦Ì©Â¡,3.64,3.71,3.62,3.67,3.67,-0.03,-0.8174,0.8844,16941917,62084241.0,6973018921.96,6973018921.96
2022-11-21,'601011,±¦Ì©Â¡,3.67,3.68,3.63,3.66,3.69,-0.02,-0.542,0.6609,12661128,46276072.0,7030488858.13,7030488858.13
2022-11-18,'601011,±¦Ì©Â¡,3.69,3.74,3.68,3.73,3.74,-0.05,-1.3369,0.9425,18055000,66959919.0,7068802148.91,7068802148.91
2022-11-17,'601011,±¦Ì©Â¡,3.74,3.75,3.7,3.75,3.75,-0.01,-0.2667,0.8765,16790663,62472258.0,7164585375.86,7164585375.86
2022-11-16,'601011,±¦Ì©Â¡,3.75,3.77,3.73,3.75,3.75,0.0,0.0,0.9684,18551180,69595638.0,7183742021.25,7183742021.25
2022-11-15,'601011,±¦Ì©Â¡,3.75,3.75,3.67,3.68,3.69,0.06,1.626,0.9687,18556740,69244181.0,7183742021.25,7183742021.25
2022-11-14,'601011,±¦Ì©Â¡,3.69,3.77,3.67,3.73,3.73,-0.04,-1.0724,1.0687,20472347,76128901.0,7068802148.91,7068802148.91
2022-11-11,'601011,±¦Ì©Â¡,3.73,3.78,3.72,3.75,3.69,0.04,1.084,1.2558,24057200,89983938.0,7145428730.47,7145428730.47
