日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-25,'600758,辽宁能源,4.16,4.17,4.03,4.07,4.08,0.08,1.9608,2.1041,27789342,114411197.0,5499592359.04,5494292519.04
2022-11-24,'600758,辽宁能源,4.08,4.15,4.06,4.13,4.12,-0.04,-0.9709,1.2556,16582600,67946356.0,5393830967.52,5388633047.52
2022-11-23,'600758,辽宁能源,4.12,4.12,4.06,4.06,4.07,0.05,1.2285,1.1715,15472108,63336658.0,5446711663.28,5441462783.28
2022-11-22,'600758,辽宁能源,4.07,4.11,4.05,4.07,4.07,0.0,0.0,1.0695,14125200,57564098.0,5380610793.58,5375425613.58
2022-11-21,'600758,辽宁能源,4.07,4.08,4.03,4.07,4.09,-0.02,-0.489,1.2115,16000889,64854255.0,5380610793.58,5375425613.58
2022-11-18,'600758,辽宁能源,4.09,4.15,4.08,4.14,4.14,-0.05,-1.2077,1.3008,17179900,70569618.0,5407051141.46,5401840481.46
2022-11-17,'600758,辽宁能源,4.14,4.2,4.1,4.17,4.22,-0.08,-1.8957,2.0227,26714365,110440517.0,5473152011.16,5467877651.16
2022-11-16,'600758,辽宁能源,4.22,4.27,4.18,4.21,4.2,0.02,0.4762,2.0197,26675600,112637778.0,5578913402.68,5573537122.68
2022-11-15,'600758,辽宁能源,4.2,4.22,4.13,4.19,4.21,-0.01,-0.2375,2.3935,31611991,132017815.0,5552473054.8,5547122254.8
2022-11-14,'600758,辽宁能源,4.21,4.3,4.15,4.26,4.31,-0.1,-2.3202,4.1654,55014789,232255758.0,5565693228.74,5560329688.74
2022-11-11,'600758,辽宁能源,4.31,4.51,4.3,4.51,4.1,0.21,5.122,7.8603,103814908,458745248.0,5697894968.14,5692404028.14
2022-11-10,'600758,辽宁能源,4.1,4.1,4.1,4.1,3.73,0.37,9.9196,0.6179,8161001,33460104.0,5420271315.4,5415047915.4
2022-11-09,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-08,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-07,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-04,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-03,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-02,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-11-01,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-10-31,'600758,辽宁能源,0.0,0.0,0.0,0.0,3.73,None,None,0.0,0,0.0,4931124879.62,4926372859.62
2022-10-28,'600758,辽宁能源,3.73,3.9,3.72,3.9,3.91,-0.18,-4.6036,1.8576,24533801,92981702.0,4931124879.62,4926372859.62
2022-10-27,'600758,辽宁能源,3.91,3.96,3.88,3.93,3.93,-0.02,-0.5089,1.2362,16327292,64078437.0,5169088010.54,5164106670.54
2022-10-26,'600758,辽宁能源,3.93,3.96,3.9,3.92,3.92,0.01,0.2551,1.1599,15319125,60168279.0,5195528358.42,5190521538.42
2022-10-25,'600758,辽宁能源,3.92,3.93,3.81,3.92,3.92,0.0,0.0,1.4169,18713000,72467484.0,5182308184.48,5177314104.48
2022-10-24,'600758,辽宁能源,3.92,3.98,3.9,3.95,3.95,-0.03,-0.7595,1.6236,21443300,84707905.0,5182308184.48,5177314104.48
2022-10-21,'600758,辽宁能源,3.95,4.01,3.93,3.97,3.96,-0.01,-0.2525,1.3573,17926800,71137033.0,5221968706.3,5216936406.3
2022-10-20,'600758,辽宁能源,3.96,4.06,3.95,4.05,4.08,-0.12,-2.9412,2.4748,32686300,130287599.0,5235188880.24,5230143840.24
2022-10-19,'600758,辽宁能源,4.08,4.17,4.07,4.1,4.13,-0.05,-1.2107,1.4566,19238162,79234059.0,5393830967.52,5388633047.52
2022-10-18,'600758,辽宁能源,4.13,4.17,4.11,4.13,4.15,-0.02,-0.4819,1.5233,20119132,83220108.0,5459931837.22,5454670217.22
2022-10-17,'600758,辽宁能源,4.15,4.16,3.95,4.01,4.05,0.1,2.4691,2.8689,37890974,153781699.0,5486372185.1,5481085085.1
2022-10-14,'600758,辽宁能源,4.05,4.08,4.02,4.03,4.02,0.03,0.7463,1.6836,22236265,90074238.0,5354170445.7,5349010745.7
2022-10-13,'600758,辽宁能源,4.02,4.13,3.99,4.13,4.17,-0.15,-3.5971,2.4018,31721200,127994430.0,5314509923.88,5309388443.88
2022-10-12,'600758,辽宁能源,4.17,4.17,4.01,4.12,4.12,0.05,1.2136,1.4843,19603300,80129865.0,5512812532.98,5507499952.98
2022-10-11,'600758,辽宁能源,4.12,4.15,3.98,4.06,4.11,0.01,0.2433,1.6453,21729600,88225826.0,5446711663.28,5441462783.28
2022-10-10,'600758,辽宁能源,4.11,4.24,4.07,4.17,4.1,0.01,0.2439,2.1274,28096885,117191249.0,5433491489.34,5428255349.34
2022-09-30,'600758,辽宁能源,4.1,4.15,4.03,4.05,4.08,0.02,0.4902,1.4742,19470719,79862445.0,5420271315.4,5415047915.4
2022-09-29,'600758,辽宁能源,4.08,4.15,4.01,4.07,4.01,0.07,1.7456,1.639,21646975,88286648.0,5393830967.52,5388633047.52
2022-09-28,'600758,辽宁能源,4.01,4.2,4.0,4.15,4.15,-0.14,-3.3735,1.9293,25481100,103575088.0,5301289749.94,5296181009.94
2022-09-27,'600758,辽宁能源,4.15,4.32,4.05,4.19,4.16,-0.01,-0.2404,2.4471,32320195,133168109.0,5486372185.1,5481085085.1
2022-09-26,'600758,辽宁能源,4.16,4.38,4.15,4.38,4.39,-0.23,-5.2392,1.7043,22509201,95605354.0,5499592359.04,5494292519.04
2022-09-23,'600758,辽宁能源,4.39,4.53,4.38,4.5,4.5,-0.11,-2.4444,1.6546,21852400,97104194.0,5803656359.66,5798063499.66
2022-09-22,'600758,辽宁能源,4.5,4.51,4.36,4.4,4.42,0.08,1.81,1.6581,21899662,97697075.0,5949078273.0,5943345273.0
2022-09-21,'600758,辽宁能源,4.42,4.44,4.35,4.37,4.41,0.01,0.2268,1.411,18636100,82036947.0,5843316881.48,5837685801.48
2022-09-20,'600758,辽宁能源,4.41,4.45,4.19,4.21,4.19,0.22,5.2506,2.5258,33359891,145463802.0,5830096707.54,5824478367.54
2022-09-19,'600758,辽宁能源,4.19,4.24,4.12,4.18,4.17,0.02,0.4796,1.3109,17314076,72703957.0,5539252880.86,5533914820.86
2022-09-16,'600758,辽宁能源,4.17,4.4,4.17,4.31,4.39,-0.22,-5.0114,2.0753,27409100,116641197.0,5512812532.98,5507499952.98
2022-09-15,'600758,辽宁能源,4.39,4.6,4.28,4.47,4.42,-0.03,-0.6787,2.5174,33248300,146912681.0,5803656359.66,5798063499.66
2022-09-14,'600758,辽宁能源,4.42,4.55,4.4,4.44,4.52,-0.1,-2.2124,1.6139,21315500,94938940.0,5843316881.48,5837685801.48
2022-09-13,'600758,辽宁能源,4.52,4.68,4.49,4.65,4.61,-0.09,-1.9523,1.6516,21813900,99318718.0,5975518620.88,5969760140.88
2022-09-09,'600758,辽宁能源,4.61,4.7,4.51,4.66,4.64,-0.03,-0.6466,1.5523,20502400,94275452.0,6094500186.34,6088627046.34
2022-09-08,'600758,辽宁能源,4.64,4.72,4.58,4.7,4.73,-0.09,-1.9027,1.6061,21211980,98793000.0,6134160708.16,6128249348.16
2022-09-07,'600758,辽宁能源,4.73,4.78,4.68,4.77,4.77,-0.04,-0.8386,1.9026,25129000,118666341.0,6253142273.62,6247116253.62
2022-09-06,'600758,辽宁能源,4.77,4.78,4.63,4.7,4.7,0.07,1.4894,2.9073,38397999,181008694.0,6306022969.38,6299945989.38
2022-09-05,'600758,辽宁能源,4.7,4.75,4.47,4.49,4.44,0.26,5.8559,3.5582,46994944,218554335.0,6213481751.8,6207493951.8
2022-09-02,'600758,辽宁能源,4.44,4.53,4.4,4.51,4.51,-0.07,-1.5521,1.9487,25737438,114762042.0,5869757229.36,5864100669.36
2022-09-01,'600758,辽宁能源,4.51,4.61,4.46,4.5,4.44,0.07,1.5766,2.7194,35916022,162764747.0,5962298446.94,5956552706.94
2022-08-31,'600758,辽宁能源,4.44,4.7,4.43,4.69,4.71,-0.27,-5.7325,3.0855,40751760,183125972.0,5869757229.36,5864100669.36
2022-08-30,'600758,辽宁能源,4.71,4.86,4.66,4.85,4.88,-0.17,-3.4836,3.0097,39750834,187872824.0,6226701925.74,6220701385.74
2022-08-29,'600758,辽宁能源,4.88,4.99,4.66,4.73,4.69,0.19,4.0512,4.4283,58486031,281520652.0,6451444882.72,6445227762.72
2022-08-26,'600758,辽宁能源,4.69,4.77,4.63,4.73,4.8,-0.11,-2.2917,3.1766,41954600,197728694.0,6200261577.86,6194286517.86
2022-08-25,'600758,辽宁能源,4.8,4.84,4.64,4.73,4.7,0.1,2.1277,3.8787,51227300,243656405.0,6345683491.2,6339568291.2
2022-08-24,'600758,辽宁能源,4.7,4.89,4.68,4.83,4.83,-0.13,-2.6915,2.9129,38471900,183761363.0,6213481751.8,6207493951.8
2022-08-23,'600758,辽宁能源,4.83,4.85,4.72,4.72,4.75,0.08,1.6842,3.2624,43087701,207377124.0,6385344013.02,6379190593.02
2022-08-22,'600758,辽宁能源,4.75,4.86,4.7,4.77,4.76,-0.01,-0.2101,3.0692,40535650,192492763.0,6279582621.5,6273531121.5
